fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,bus,0.94,1,1402,52,1918,476,MATRICULA,None,None,None,None,None,None
1,car,0.85,2,1321,312,1398,371,MATRICULA,None,None,None,None,None,None
2,bus,0.94,1,1402,56,1918,471,MATRICULA,0.014137358404695988,1887,410,1917,422,V823
2,car,0.82,2,1321,312,1397,371,MATRICULA,None,None,None,None,None,None
3,bus,0.94,1,1395,63,1918,467,MATRICULA,0.16261133256501312,1869,409,1918,423,62
3,car,0.82,2,1320,312,1395,371,MATRICULA,None,None,None,None,None,None
4,bus,0.9,1,1389,67,1918,466,MATRICULA,0.3631725665291583,1854,408,1918,423,4
4,car,0.84,2,1318,312,1395,371,MATRICULA,None,None,None,None,None,None
5,bus,0.93,1,1390,72,1918,464,MATRICULA,0.024043718363376352,1837,407,1900,419,A6
5,car,0.82,2,1316,312,1394,371,MATRICULA,None,None,None,None,None,None
6,bus,0.94,1,1392,76,1918,462,MATRICULA,0.15182472038080963,1823,405,1886,418,E
6,car,0.81,2,1316,312,1392,370,MATRICULA,None,None,None,None,None,None
7,bus,0.94,1,1391,79,1918,461,MATRICULA,0.212571983686459,1808,404,1871,418,222
7,car,0.8,2,1316,312,1390,370,MATRICULA,None,None,None,None,None,None
8,bus,0.94,1,1388,84,1918,458,MATRICULA,0.13368863319086488,1796,402,1856,415,EE2
8,car,0.79,2,1314,312,1389,369,MATRICULA,None,None,None,None,None,None
9,bus,0.94,1,1386,88,1918,457,MATRICULA,0.06250586125152931,1782,400,1841,413,V2
9,car,0.79,2,1313,312,1387,368,MATRICULA,None,None,None,None,None,None
10,bus,0.95,1,1383,92,1918,457,MATRICULA,0.47408619645045663,1771,400,1829,413,222
10,car,0.81,2,1311,312,1386,368,MATRICULA,None,None,None,None,None,None
11,bus,0.94,1,1382,96,1918,456,MATRICULA,0.04844983082380869,1758,398,1816,410,682022
11,car,0.81,2,1310,312,1385,367,MATRICULA,None,None,None,None,None,None
12,bus,0.93,1,1382,97,1918,455,MATRICULA,0.11317783461760289,1745,397,1803,410,2
12,car,0.79,2,1309,312,1384,368,MATRICULA,None,None,None,None,None,None
13,bus,0.94,1,1382,101,1915,453,MATRICULA,0.06316304684948779,1735,394,1790,407,A2
13,car,0.79,2,1309,312,1382,368,MATRICULA,None,None,None,None,None,None
14,bus,0.93,1,1381,104,1903,451,MATRICULA,0.11750561740724445,1724,393,1778,406,E7
14,car,0.8,2,1309,312,1380,368,MATRICULA,None,None,None,None,None,None
15,bus,0.92,1,1380,107,1889,451,MATRICULA,0.1239909584892871,1714,393,1767,405,2
15,car,0.78,2,1309,312,1378,368,MATRICULA,None,None,None,None,None,None
16,bus,0.93,1,1378,111,1872,450,MATRICULA,0.08808692048234959,1704,392,1757,403,V22
16,car,0.78,2,1308,312,1375,367,MATRICULA,None,None,None,None,None,None
17,bus,0.92,1,1376,114,1866,449,MATRICULA,0.013236277966705907,1694,391,1746,402,72
17,car,0.79,2,1308,313,1374,367,MATRICULA,None,None,None,None,None,None
18,bus,0.91,1,1376,117,1858,450,MATRICULA,0.19057224222468924,1684,390,1736,402,62E
18,car,0.78,2,1308,313,1373,366,MATRICULA,None,None,None,None,None,None
19,bus,0.92,1,1375,121,1840,448,MATRICULA,0.048052383198675774,1676,389,1726,400,72
19,car,0.77,2,1308,313,1372,367,MATRICULA,None,None,None,None,None,None
20,bus,0.93,1,1374,125,1826,446,MATRICULA,0.04306616634130478,1668,388,1718,399,2422
20,car,0.79,2,1308,314,1370,367,MATRICULA,None,None,None,None,None,None
21,bus,0.92,1,1372,127,1816,444,MATRICULA,0.2898000431019341,1660,388,1708,398,J
21,car,0.76,2,1308,313,1369,368,MATRICULA,None,None,None,None,None,None
22,bus,0.92,1,1371,132,1809,442,MATRICULA,0.08178925719234087,1650,386,1700,397,V
22,car,0.74,2,1308,313,1368,368,MATRICULA,None,None,None,None,None,None
23,bus,0.92,1,1369,135,1808,442,MATRICULA,None,None,None,None,None,None
23,car,0.75,2,1308,313,1366,367,MATRICULA,None,None,None,None,None,None
24,bus,0.91,1,1369,140,1804,441,MATRICULA,0.3600525302974802,1635,385,1682,396,2
24,car,0.72,2,1308,313,1366,366,MATRICULA,None,None,None,None,None,None
25,bus,0.89,1,1368,142,1787,441,MATRICULA,0.012668017736882684,1628,385,1676,395,ES2
25,car,0.71,2,1308,312,1366,366,MATRICULA,None,None,None,None,None,None
26,bus,0.91,1,1367,143,1771,441,MATRICULA,0.3225217061973848,1622,384,1671,394,15
26,car,0.71,2,1308,312,1365,366,MATRICULA,None,None,None,None,None,None
27,bus,0.9,1,1366,145,1760,440,MATRICULA,0.12114720333633588,1615,383,1660,393,1
27,car,0.69,2,1308,311,1365,365,MATRICULA,None,None,None,None,None,None
28,bus,0.9,1,1364,148,1745,437,MATRICULA,0.51329868910058,1608,383,1652,393,C
28,car,0.68,2,1308,310,1364,366,MATRICULA,None,None,None,None,None,None
29,bus,0.91,1,1363,150,1736,436,MATRICULA,0.016823520642126406,1602,382,1645,391,J2
29,car,0.65,2,1307,309,1364,365,MATRICULA,None,None,None,None,None,None
30,bus,0.9,1,1363,152,1731,437,MATRICULA,0.05056026279572223,1596,381,1641,390,J
30,car,0.63,2,1307,308,1362,365,MATRICULA,None,None,None,None,None,None
31,bus,0.91,1,1361,153,1727,433,MATRICULA,None,None,None,None,None,None
31,car,0.62,2,1306,307,1359,364,MATRICULA,None,None,None,None,None,None
32,bus,0.9,1,1360,155,1726,430,MATRICULA,0.016485175802258365,1584,378,1626,388,DSE
